Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
10-Feb-2021,Guddeby 174,"Ytterby/Guddeby,Kungälvskommun",143,6,1257,5475000
9-Feb-2021,Gamla Trollhättevägen 6,"Centralt,Kungälvskommun",210+170,8,1368,7600000
8-Feb-2021,Lybeck 151,"Diseröd,Kungälvskommun",117+40,4,1572,5120000
5-Feb-2021,Furuvägen 8,"Diseröd,Kungälvskommun",102+102,4,715,3100000
4-Feb-2021,Barlinds Väg 4B,"Instön,Kungälvskommun",80+25,4,NaN,7900000
3-Feb-2021,Settungsvägen 48,"Ullstorp,Kungälvskommun",123+22,4,543,5935000
3-Feb-2021,Toftebergsvägen 2,"Tjuvkil,Kungälvskommun",85+6,"3,5",1085,3895000
31-Jan-2021,Skårshöjd 6,"Kärna,Kungälvskommun",107,3,909,4575000
29-Jan-2021,Lyckevägen 5C,"Kärna,Kungälvskommun",95+61,3,1060,4500000
28-Jan-2021,Odlingsgatan 88,"Ytterby,Kungälvskommun",130,5,464,5275000
28-Jan-2021,Rishammarvägen 2,"Kareby,Kungälvskommun",155+62,8,2086,6770000
28-Jan-2021,Lerlycke 210,"Kärna,Kungälvskommun",148,5,925,4030000
27-Jan-2021,Näckrosvägen 7A,"Kärna,Kungälvskommun",140,5,1321,6650000
27-Jan-2021,Lilla Fjellsholmen 11,"LillaFjellsholmen,Kungälvskommun",103,5,414,8700000
26-Jan-2021,Åsebyberg 655,"Åsebyberg,Kungälvskommun",35,2,2854,2700000
24-Jan-2021,Håkons gata 2,"Centrum,Kungälvskommun",124+124,6,1006,5350000
23-Jan-2021,Beryllvägen 11,"Kode,Kungälvskommun",123,5,350,3650000
22-Jan-2021,Glöskär 390,"Kärna,Kungälvskommun",170,5,2171,5100000
21-Jan-2021,Täljstensgatan 4,"Ytterby,Kungälvskommun",70+12,3,478,3600000
19-Jan-2021,Glose 650,"Bohuslän,Kungälvskommun",75,NaN,3702,2950000
18-Jan-2021,Bärtas väg 10,"Ödsmålsmosse,Kungälvskommun",30,2,1525,1600000
13-Jan-2021,Kantorvägen 3,"Bohuslän,Kungälvskommun",165+14,5,761,4625000
12-Jan-2021,Holm 160,"Kärna,Kungälvskommun",143+108,5,3125,4525000
11-Jan-2021,Högsberg 355,"Kode,Kungälvskommun",98,4,1797,3825000
7-Jan-2021,Skårby station 215,"Kareby,Kungälvskommun",95+88,5,1498,3700000
23-Dec-2020,Signehög 240,"Signehög,Kungälvskommun",121+77,3,NaN,2500000
21-Dec-2020,Munkegärdegatan 253,"KungälvMunkegärde,Kungälvskommun",134+110,8,899,6060000
18-Dec-2020,Klintegatan 21,"Kungälv,Kungälvskommun",90,3,672,3800000
16-Dec-2020,Prästvägen 788,"Bohuslän,Kungälvskommun",175,8,1456,6150000
12-Dec-2020,Almvägen 19,"Bohuslän,Kungälvskommun",162,4,801,5325000
9-Dec-2020,Oxelvägen 80,"Diseröd,Kungälvskommun",139+20,7,751,5475000
8-Dec-2020,Byvägen 42,"Kode,Kungälvskommun",54,NaN,1521,1750000
4-Dec-2020,Källeröd 193,"Kareby,Kungälvskommun",126,6,1163,4495000
2-Dec-2020,Ulvesund 415,"Ytterby,Kungälvskommun",48,3,791,2060000
2-Dec-2020,Bollestad 130,"Kareby,Kungälvskommun",145+55,6,1554,3975000
1-Dec-2020,Klockarvägen 6,"Bohuslän,Kungälvskommun",137,5,561,4450000
1-Dec-2020,Västerhöjdsvägen 36,"Kärna,Kungälvskommun",107,4,258,4425000
30-Nov-2020,Sjöstigen 7,"Kungälv,Kungälvskommun",115,5,289,3400000
30-Nov-2020,Alekärr 125,"Romelanda,Kungälvskommun",120,4,1950,5600000
30-Nov-2020,Rörmossevägen 170,"Kungälv,Kungälvskommun",214,8,2864,4950000
29-Nov-2020,Kroken 210,"Bohuslän,Kungälvskommun",139+39,6,1447,5500000
28-Nov-2020,Mellan-Restad 355,"Bohuslän,Kungälvskommun",70+15,4,851,4160000
24-Nov-2020,Lönnvägen 1,"Ytterby,Kungälvskommun",137,6,630,4800000
24-Nov-2020,Hammarberg 900,"Kode,Kungälvskommun",75,4,1106,2575000
23-Nov-2020,Brunnefjällsvägen 27,"Vedhall,Kungälvskommun",60,4,1571,2300000
22-Nov-2020,Onyxvägen 5,"Kode,Kungälvskommun",155,5,532,5100000
20-Nov-2020,Olgas väg 1C,"Timmervik,Kungälvskommun",140,5,1342,5525000
19-Nov-2020,Ametistvägen 1,"Kode,Kungälvskommun",98+92,5,936,4135000
18-Nov-2020,Ställets bygata 98,"Ytterby-Stället,Kungälvskommun",163,6,632,5850000
13-Nov-2020,Barlinds väg 23,"Marstrand-Instön,Kungälvskommun",114+5,5,1340,7000000
24-May-2013,Gårdskiftegatan 41,"Ytterby-Tega,Kungälvskommun",174+14,6,735,3075000
24-May-2013,Kuskalundsvägen 36,"Vävra,Kungälvskommun",120+45,6,1339,1850000
23-May-2013,Vävra 170,"Hålta,Kungälvskommun",62,4,1860,1385000
23-May-2013,Stinneröd 160,"Romelanda,Kungälvskommun",37,2,1815,595000
16-May-2013,Grokareby 150,"Kareby,Kungälvskommun",123+45,4,2081,2620000
14-May-2013,Duvesjön 370,"Duvesjön,Kungälvskommun",118,4,928,2770000
9-May-2013,Alekärr 153,"Romelanda,Kungälvskommun",150,8,1411,2800000
8-May-2013,Munkegärdegatan 353,"Munkegärde,Kungälvskommun",107,4,612,2630000
30-Apr-2013,Staby 490,"Kärna,Kungälvskommun",92+60,4,2230,2500000
30-Apr-2013,Skeppsholmsgatan 3,"Centralt,Kungälvskommun",95+3,4,780,3200000
30-Apr-2013,Flateby 500,"Kärna-Harestad,Kungälvskommun",110+68,6,4215,2610000
21-Apr-2013,Stenåldersgatan 4,"Ytterby-Stället,Kungälvskommun",107+5,5,459,2775000
18-Apr-2013,Ulvesund 419,"Ytterby,Kungälvskommun",65+15,3,688,2150000
17-Apr-2013,Östra Trädal 360,"Ytterby-ÖstraTrädal,Kungälvskommun",160+80,7,11627,3400000
17-Apr-2013,Dösebacka 640,"Dösebacka,Kungälvskommun",45,2,1455,1600000
